,Media,Text,Date,Compound,Positive,Neutral,Negative
377,@FoxNews,English restaurant offering 200-ounce steak challenge: 'We wanted to bring a bit of fun to the restaurant' https://t.co/NPcvEBDsrq,Mon Mar 19 15:47:04 +0000 2018,0.5574,0.235,0.765,0.0
378,@FoxNews,.@Richardafowler: ¡°We all understand the Clintons were¡­ the Democratic party of yesteryear and we are trying to mov¡­ https://t.co/QJ46tLiGEk,Mon Mar 19 15:39:18 +0000 2018,0.4019,0.13,0.87,0.0
379,@FoxNews,"Cops: 4 Austin bombings show 'similarities,' work of 'serial bomber' https://t.co/dLVCoqrI2P",Mon Mar 19 15:29:59 +0000 2018,0.0,0.0,1.0,0.0
380,@FoxNews,Chief Brian Manley: ¡°We are clearly dealing with what we expect to be a serial bomber at this point.¡±¡­ https://t.co/IXPKAAsmue,Mon Mar 19 15:18:38 +0000 2018,0.4019,0.13,0.87,0.0
381,@FoxNews,Double amputee could become the first to climb Mt. Everest with no legs https://t.co/dTkfxtrhqi,Mon Mar 19 15:10:34 +0000 2018,-0.296,0.0,0.855,0.145
382,@FoxNews,".@Austin_Police and other officials provide an update on the most recent explosion in Austin, Texas.¡­ https://t.co/wmDg4tvJVP",Mon Mar 19 15:04:24 +0000 2018,0.0,0.0,1.0,0.0
383,@FoxNews,.@RepLeeZeldin on curbing Russia: ¡°President Trump actually did more in the last week than President Obama did in 8¡­ https://t.co/FOBaiCXLN8,Mon Mar 19 14:56:08 +0000 2018,0.0,0.0,1.0,0.0
384,@FoxNews,.@RepLeeZeldin: ¡°All signals is that the president will not be staying in the Iran nuclear deal.¡± https://t.co/VwWuwnuke7,Mon Mar 19 14:55:29 +0000 2018,0.0,0.0,1.0,0.0
385,@FoxNews,Maryland I-270 pileup involving 20 vehicles leaves multiple injured (via @travfed)  https://t.co/GLKZxpuGEP,Mon Mar 19 14:50:00 +0000 2018,-0.5859,0.0,0.676,0.324
386,@FoxNews,"Saudi Crown Prince Mohammed bin Salman says women are 'absolutely' equal to men, continues modernization push¡­ https://t.co/vIpDkAANrQ",Mon Mar 19 14:39:15 +0000 2018,0.0,0.0,1.0,0.0
387,@FoxNews,"Massachusetts governor applauded, mocked for taking tequila shot on St. Patrick¡¯s Day https://t.co/7Z3IAn4QRt",Mon Mar 19 14:35:43 +0000 2018,0.0516,0.158,0.696,0.146
388,@FoxNews,"Earlier, @SecondLady Karen Pence and Charlotte Pence joined @foxandfriends https://t.co/zNjNuFxy8K",Mon Mar 19 14:25:41 +0000 2018,0.0,0.0,1.0,0.0
389,@FoxNews,US military eyes futuristic 'bionic arm' for troops https://t.co/BOUeVun9p3,Mon Mar 19 14:24:50 +0000 2018,0.0,0.0,1.0,0.0
390,@FoxNews,'Angel Dad' on Appointment of Illegal Immigrant to Gov't Post: 'The Laws are Irrelevant' in CA https://t.co/5UwkV4LImY,Mon Mar 19 14:23:24 +0000 2018,-0.5574,0.0,0.816,0.184
